Number, Problems to do, Number of problems, Topics
31, 8, 16, {'7.0', '7.1', '7.2'}

email, boolean_results
slimysnake152@163.com,2,2,1,2,2,2,1,2,1,1,2,1,1,1,1,2
dirtyblanket188@outlook.com,2,1,2,1,2,1,1,2,2,1,2,1,1,1,2,2
deepshoes213@163.com,1,2,2,1,2,1,2,2,2,1,1,1,1,1,2,2
soiledshirt954@qq.com,2,2,1,2,1,2,1,1,1,1,2,2,2,2,1,1
foldingsnake743@163.com,2,2,1,2,2,2,1,1,1,1,2,1,1,1,2,2
acientshirt486@yahoo.com,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,1
dailysub221@outlook.com,2,2,2,1,1,2,2,1,1,1,1,2,1,2,1,2
fishyhat985@gmail.com,1,1,1,2,2,2,2,1,1,1,2,2,1,2,2,1
newtide488@qq.com,2,1,1,1,2,2,1,2,2,1,1,2,2,1,1,2
lostrug582@qq.com,1,1,2,2,2,1,1,1,2,1,2,1,1,2,2,2
dirtywindow723@qq.com,1,2,1,1,2,1,1,1,2,2,2,2,1,2,2,1
oldsub460@163.com,1,1,1,2,1,1,2,1,2,1,2,2,2,2,1,2
foundcola777@qq.com,2,0,1,2,2,1,1,1,2,1,2,2,2,1,1,2
dirtyjeep853@163.com,1,2,1,2,1,2,1,2,2,1,2,1,2,2,1,1
hotrug57@outlook.com,2,1,2,2,1,1,1,2,2,1,2,2,1,1,2,1
dailycola618@163.com,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,1
buriedcup578@gmail.com,2,1,2,2,1,1,1,0,2,2,1,1,2,2,1,2
usedskates247@qq.com,1,2,2,1,2,1,2,1,2,1,2,1,2,2,1,1
newbeans603@163.com,1,2,2,1,1,1,2,2,2,1,1,2,1,1,2,2
freshytide804@outlook.com,2,2,1,1,2,2,1,2,1,2,2,1,0,1,1,2
acientcup779@163.com,1,1,1,1,2,1,1,2,2,2,2,1,2,2,1,2
soiledhat769@yahoo.com,2,1,2,2,1,2,2,2,1,2,1,1,1,1,2,1
drytire660@yahoo.com,1,2,1,2,2,1,1,1,2,1,2,1,2,2,1,2
buriedshoes976@163.com,1,2,2,1,2,1,2,2,2,1,1,1,2,1,2,1
dirtyskates896@qq.com,1,1,1,2,1,2,2,2,1,2,2,1,1,1,2,2
slightlycup382@yahoo.com,2,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2
slimysnake530@yahoo.com,2,0,1,1,1,1,2,2,2,1,1,2,2,1,2,2
clamybread60@qq.com,1,2,2,1,1,1,2,1,2,1,2,2,1,2,1,2
tireddrum864@yahoo.com,1,2,2,2,1,2,2,1,1,1,1,1,1,2,2,2
oldshoes850@outlook.com,2,2,1,2,2,1,1,2,2,1,1,1,2,2,1,1
dryjeep118@163.com,2,2,1,2,1,2,2,1,1,2,1,2,1,1,1,2
buriedchrysler423@gmail.com,1,1,2,2,1,2,1,1,1,2,2,1,2,0,2,2
fishyhat223@yahoo.com,2,2,2,1,2,1,2,2,1,1,2,1,1,1,2,1
soiledhat362@outlook.com,2,2,1,2,2,1,1,1,2,1,1,2,1,1,2,2
foldingrug816@163.com,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1,1
losttide621@outlook.com,1,1,2,1,1,2,2,2,1,2,2,2,1,1,1,2
moistcup782@yahoo.com,1,1,1,1,2,2,2,1,1,2,2,2,1,2,2,1
clamytire851@outlook.com,2,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1
moistdrum239@gmail.com,1,2,1,2,2,2,1,1,2,2,2,1,1,2,1,1
foundspice684@yahoo.com,2,2,1,2,2,2,1,2,2,1,1,1,1,1,2,1
founddrum576@outlook.com,1,2,1,2,2,2,2,2,1,1,2,1,0,2,1,1
deepshoes305@outlook.com,2,1,1,2,1,1,2,2,2,1,2,2,1,1,2,1
mostlyhat337@yahoo.com,2,0,1,1,2,1,2,2,1,1,2,2,1,2,1,2
slightlyhat896@163.com,2,1,1,2,1,2,2,1,1,2,1,2,2,1,2,1
