email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18
moisthat761@outlook.com,2,1,1,2,2,1,2,0,1,2,2,1,2,1,2,1,2,0
deepbread546@qq.com,1,2,0,1,2,1,1,1,2,2,2,0,2,1,2,1,2,2
extrasnake858@gmail.com,1,1,0,2,1,2,0,0,2,2,1,1,2,2,2,2,2,0
coldcola526@163.com,1,2,2,2,2,1,1,2,1,1,2,2,2,2,0,1,1,0
colddrum537@yahoo.com,2,2,2,0,2,1,1,2,1,1,2,1,2,2,2,1,1,0
dailyhat533@outlook.com,1,1,1,2,0,2,1,2,2,2,2,1,1,2,1,2,1,2
fishyrug448@yahoo.com,1,1,2,2,2,1,1,0,2,0,1,1,2,2,2,1,2,2
mostlychrysler142@qq.com,2,2,2,2,2,2,1,0,1,1,2,2,1,1,1,1,2,1
slightlydrum888@yahoo.com,2,2,1,2,1,1,2,1,1,2,2,2,1,0,2,1,1,2
milkytire61@yahoo.com,2,2,2,0,1,2,1,2,1,1,2,1,2,0,1,2,2,0
coldwindow93@gmail.com,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,2,1,2
foundbeans91@163.com,1,2,2,2,1,2,2,1,1,1,1,2,1,2,2,2,1,1
buriedblanket902@outlook.com,1,2,1,1,1,2,2,1,1,2,2,0,2,2,1,1,2,2
freshysub776@163.com,1,1,2,2,2,1,2,1,2,2,1,1,2,2,1,0,2,0
newsnake440@gmail.com,1,1,1,0,0,2,1,2,2,2,2,2,1,0,1,2,2,2
dailycup910@outlook.com,2,0,2,1,2,1,1,2,1,1,1,2,2,2,2,1,2,1
tiredchrysler382@163.com,1,1,1,2,1,1,0,2,2,2,1,2,1,2,2,2,1,2
clamyshack71@qq.com,2,2,2,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2
lostskates908@163.com,1,2,1,2,2,2,1,2,1,2,0,2,1,0,2,0,2,1
soiledsnake360@yahoo.com,2,1,2,1,2,1,2,0,1,2,1,1,1,2,1,2,2,2
usedspice345@gmail.com,2,1,0,2,2,2,2,2,1,2,1,1,1,2,2,0,1,1
freshytire380@163.com,2,1,2,1,2,1,2,2,2,2,1,2,1,1,2,1,1,1
freshybread731@163.com,2,1,1,0,0,2,2,1,2,0,2,1,2,2,1,1,2,2
extrashoes592@yahoo.com,0,1,2,1,0,2,1,2,2,2,1,2,1,2,2,1,1,2
dryjeep45@163.com,2,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,1,0
slightlycup586@163.com,2,2,2,2,2,1,0,0,2,0,2,2,1,1,0,1,2,1
mostlytire665@163.com,2,2,2,1,2,1,2,2,2,1,2,0,0,0,1,1,0,2
mostlycup976@qq.com,2,2,2,1,1,1,1,2,2,2,1,0,2,2,2,1,1,0
mostlybike595@gmail.com,2,1,1,1,2,2,2,2,1,2,1,1,2,0,2,1,2,0
soiledshack25@qq.com,2,1,2,2,2,2,1,1,1,2,1,1,1,2,2,1,2,1
acientbeans987@gmail.com,2,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2
coldshirt926@163.com,2,1,1,2,2,1,2,0,1,2,1,1,2,2,2,2,1,0
coldshack63@qq.com,2,2,2,0,1,2,1,0,1,1,2,1,2,0,2,1,2,2
soiledwindow838@yahoo.com,0,1,2,2,0,0,2,0,2,1,1,2,2,2,2,2,1,0
newhat705@yahoo.com,1,1,2,2,2,2,1,1,1,0,2,1,1,2,1,2,2,2
usedspice635@gmail.com,2,2,1,0,2,1,2,2,1,1,1,0,1,2,2,1,2,2
losthat823@gmail.com,1,1,2,2,1,1,2,0,2,1,2,1,2,2,1,2,1,2
deepsub474@yahoo.com,1,1,2,1,2,1,2,1,1,2,2,2,2,0,1,1,2,2
losthat457@163.com,2,1,2,0,2,0,1,2,1,2,1,1,1,2,2,2,2,0
foldingshoes858@qq.com,2,1,2,2,1,2,2,0,2,2,1,2,1,2,0,1,1,1
buriedbeans746@yahoo.com,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,1,1,2
slightlywindow137@qq.com,2,1,2,2,2,1,1,2,1,1,1,2,1,2,1,2,2,1
buriedjug233@yahoo.com,1,2,2,0,2,2,1,1,1,1,1,2,1,2,2,2,1,2
usedbread568@163.com,0,2,1,1,0,2,1,2,2,2,2,2,1,0,2,1,0,2
usedskates18@gmail.com,2,2,1,2,2,1,2,2,2,1,1,2,1,2,1,1,1,0
oldwindow763@yahoo.com,2,1,1,2,1,1,2,0,2,1,2,2,1,2,1,1,2,2
mostlywindow259@qq.com,0,1,2,1,2,0,2,0,2,2,2,1,1,2,2,1,1,2
foldingcola121@163.com,2,2,1,1,0,2,2,2,0,2,2,2,1,0,1,2,1,1
deepblanket774@outlook.com,1,1,2,1,0,2,1,1,2,1,1,2,2,1,2,2,2,2
buriedjeep923@yahoo.com,1,1,2,2,0,2,2,2,2,1,2,1,1,1,1,1,2,2
retiredspice749@gmail.com,2,2,1,1,2,0,2,1,1,2,2,0,2,1,2,1,2,1
fishyhat971@outlook.com,2,1,2,2,1,2,1,1,1,1,2,2,1,2,1,1,2,2
newcola758@qq.com,2,0,2,2,1,2,1,2,2,1,1,2,2,1,1,1,1,2
milkyshoes260@163.com,1,2,1,2,2,0,1,2,1,2,2,1,0,1,1,2,2,2
clamyblanket28@outlook.com,2,2,1,0,1,1,2,1,1,2,2,1,2,1,2,2,2,0
moistspice387@qq.com,1,0,1,1,2,2,1,0,1,2,2,2,1,2,2,1,2,2
usedcup447@yahoo.com,1,0,1,2,0,2,2,1,1,0,2,2,2,0,0,2,2,2
clamyjug699@163.com,1,2,2,1,0,1,1,2,1,1,2,2,1,1,2,2,2,2
slightlytire158@163.com,0,1,0,2,2,1,1,2,2,2,2,1,2,2,2,1,1,0
moistbike627@163.com,1,0,1,2,2,2,2,0,1,1,2,1,1,1,2,2,2,2
clamytire651@gmail.com,2,1,0,2,0,1,0,2,2,2,1,1,1,2,1,2,2,2
extraskates512@qq.com,2,1,2,2,2,2,2,1,1,1,1,1,1,2,1,2,1,2
usedsub254@gmail.com,1,1,2,2,1,2,2,1,2,0,1,1,1,1,2,2,2,2
foldinghat165@qq.com,2,0,1,0,2,2,2,1,2,1,2,1,2,0,1,2,2,0
fishycola451@outlook.com,1,1,0,1,0,2,1,2,2,2,2,2,2,0,2,2,1,1
newtide937@yahoo.com,2,2,1,1,1,1,2,2,1,1,2,2,2,2,1,2,1,1
acientspice814@outlook.com,1,0,2,1,1,2,2,2,2,1,1,2,2,2,1,1,1,2
coldskates556@163.com,1,1,1,2,1,1,1,2,2,2,1,2,2,0,2,2,1,2
slimyskates43@163.com,2,0,1,1,1,2,1,1,2,1,2,2,1,0,2,2,2,2
clamywindow857@yahoo.com,0,1,1,2,2,1,2,2,1,2,1,0,1,2,2,0,2,2
newshoes633@163.com,1,1,1,2,2,1,1,2,2,2,1,2,0,1,2,2,2,1
lostskates583@163.com,2,2,2,2,2,1,2,2,1,1,1,1,1,2,1,1,1,2
extrabike590@outlook.com,0,1,1,2,1,2,2,1,2,2,1,0,2,1,2,2,1,2
drywindow184@qq.com,2,2,2,1,2,2,2,0,0,1,2,1,1,2,1,1,1,2
dryjeep101@qq.com,1,2,2,2,2,1,2,2,1,0,1,2,1,0,1,2,2,1
mostlycola126@yahoo.com,2,1,0,1,0,2,1,2,2,1,1,2,2,2,2,1,2,1
soiledblanket200@gmail.com,2,2,2,2,1,1,1,2,2,2,2,1,2,1,1,1,1,1
dirtydrum384@163.com,2,1,2,2,2,1,2,2,1,2,0,2,1,1,1,1,1,2
deepcola71@qq.com,1,2,2,2,1,1,1,2,2,0,2,2,2,1,1,1,1,2
tiredsub722@163.com,2,1,1,2,2,2,1,2,1,0,1,1,1,1,2,2,2,2
deepbread381@yahoo.com,0,2,2,2,1,2,2,2,1,0,1,2,1,0,2,1,1,2
dailywindow783@qq.com,2,0,2,2,0,1,2,2,2,2,1,1,1,2,0,2,1,1
retiredblanket413@163.com,2,2,1,1,0,2,1,0,2,1,1,2,2,2,1,2,1,2
acientbread18@outlook.com,2,1,2,2,1,2,2,1,1,0,1,2,1,2,2,1,2,1
mostlyjug823@yahoo.com,1,2,1,2,1,2,2,1,2,2,1,1,1,2,2,2,1,1
hottide167@outlook.com,2,0,1,2,2,1,1,0,2,2,1,2,0,2,1,2,1,2
