Number, Problems to do, Number of problems, Topics
44, 13, 26, {'9.8', '9.9', '9.11', '9.10', '9.12'}

email, boolean_results
foldingchrysler99@qq.com,2,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,1,1,2,1,1,1,2,1
freshytire671@outlook.com,1,1,2,2,0,2,2,2,2,2,1,2,1,2,2,1,1,1,2,1,1,1,1,2,1,2
losthat653@yahoo.com,0,1,1,2,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,1,2
milkyjeep140@qq.com,1,0,1,1,2,1,2,1,2,2,2,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2
slimyskates628@yahoo.com,1,1,2,2,1,2,1,2,1,0,2,1,2,1,2,2,1,2,1,2,1,1,2,2,1,2
soiledjeep653@163.com,1,1,2,2,1,2,2,2,1,1,2,1,2,1,1,0,2,2,1,2,1,2,1,2,2,1
lostdrum301@gmail.com,1,2,1,2,2,2,1,1,2,0,2,1,1,2,2,2,1,2,1,2,1,1,1,2,1,2
usedchrysler214@qq.com,1,2,2,1,2,1,1,1,1,2,1,2,1,2,1,1,2,1,2,2,2,1,2,1,2,2
slightlyhat822@qq.com,1,1,0,2,2,2,0,0,2,1,2,1,2,1,2,0,2,2,2,2,1,1,2,1,1,2
soiledhat362@outlook.com,2,2,2,2,2,1,1,1,1,1,1,2,1,1,2,1,2,2,1,2,1,2,1,1,2,2
retiredjeep338@outlook.com,2,1,2,1,2,1,2,2,1,2,1,2,1,2,1,1,1,1,2,2,2,2,1,1,2,1
drybike107@outlook.com,2,2,2,2,1,2,1,2,2,2,1,1,1,1,1,0,1,0,1,1,1,2,2,2,2,2
coldsub442@yahoo.com,0,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,1,2,2,1,1,1
freshyblanket517@163.com,2,2,1,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,2
hotjug361@gmail.com,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,0,0,1,1,1,1,1,2,2,2,2
fishysub444@gmail.com,2,1,1,1,2,1,2,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2
fishyjug987@yahoo.com,1,1,1,1,2,2,2,1,1,2,1,2,0,1,0,2,2,1,1,2,2,2,2,1,2,2
soiledshack901@163.com,2,1,1,0,1,2,1,1,2,1,2,1,2,2,1,1,2,1,2,1,2,2,2,2,2,1
hotsub887@qq.com,1,2,2,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,1,2,2,2,2,1,2,1
foldingshoes824@yahoo.com,2,1,2,2,1,1,2,2,1,2,2,1,2,1,1,2,1,1,2,2,1,1,1,2,2,1
usedshirt220@yahoo.com,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2
freshytire615@outlook.com,2,2,2,2,1,1,1,2,1,1,2,2,1,1,1,2,1,1,2,1,1,2,2,2,2,1
slimyspice560@outlook.com,1,1,1,2,1,2,2,0,2,2,1,1,2,1,2,2,1,2,1,2,1,1,1,2,2,2
fishycola257@gmail.com,1,1,1,1,2,1,1,2,2,2,1,2,1,0,2,2,1,1,2,2,2,1,1,2,2,2
mostlysub86@yahoo.com,2,1,1,2,2,1,1,1,2,2,1,2,2,1,2,2,2,0,2,1,2,1,2,1,1,1
dryrug204@outlook.com,2,1,0,1,0,1,2,2,1,2,1,2,2,1,1,1,2,1,2,2,0,2,2,1,2,2
