email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18
mostlycup165@yahoo.com,2,0,2,2,0,2,1,1,1,1,2,1,2,0,2,2,2,1
newspice777@163.com,1,0,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2
foundsub311@yahoo.com,2,1,1,1,2,1,1,2,2,1,2,2,1,2,2,0,1,2
dailybread914@gmail.com,1,0,1,1,1,1,2,1,1,2,2,2,2,2,1,2,2,2
moistwindow556@yahoo.com,1,0,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2
replacementdrum860@gmail.com,1,0,1,2,2,1,1,1,0,2,0,2,2,2,2,0,2,2
deepblanket891@outlook.com,1,2,1,2,1,1,1,2,0,2,2,0,2,1,1,2,2,2
fishyjug865@163.com,1,1,2,1,2,1,2,0,1,2,1,2,2,1,2,2,1,2
moisttire840@outlook.com,2,1,2,2,1,2,1,1,0,1,0,1,2,1,2,2,2,2
soiledjug360@yahoo.com,2,2,0,2,1,2,2,0,2,2,1,1,1,1,2,2,1,1
retiredsub891@163.com,1,1,1,1,2,2,2,2,2,1,1,1,2,2,0,1,2,2
extrawindow760@gmail.com,1,0,1,2,2,2,2,1,2,1,0,2,1,2,1,2,0,2
newwindow185@outlook.com,2,1,2,2,2,2,1,0,1,2,2,2,2,0,0,0,1,1
slimyshirt299@163.com,2,2,1,0,2,2,1,1,1,1,2,2,1,2,2,2,0,1
replacementdrum717@163.com,2,2,1,2,2,2,1,2,2,1,2,1,1,1,1,2,1,0
buriedshirt699@gmail.com,1,1,2,2,1,2,1,1,2,1,1,2,2,1,2,2,2,0
mostlyjug153@163.com,1,2,1,2,2,2,1,0,1,0,1,1,1,2,2,2,2,2
drysnake580@gmail.com,1,0,2,1,2,2,2,1,1,2,1,2,2,0,0,1,2,2
soiledshoes666@outlook.com,1,0,1,2,2,2,2,0,0,2,0,2,1,0,2,2,2,0
mostlychrysler142@qq.com,2,2,2,2,2,2,1,1,1,1,2,2,0,1,1,1,2,1
newcola758@qq.com,2,0,2,2,1,2,1,2,2,1,0,2,2,1,0,0,1,2
tiredsub722@163.com,2,1,0,2,2,2,1,2,1,1,0,1,0,0,2,2,2,2
soiledshack25@qq.com,2,0,2,2,2,2,1,1,1,2,0,1,1,2,2,1,2,1
slightlycup436@yahoo.com,2,1,2,2,2,1,0,0,2,2,1,1,1,2,0,2,1,2
newrug832@163.com,2,2,2,2,2,1,1,1,2,1,1,1,2,1,1,2,1,2
mostlybike595@gmail.com,2,0,0,1,2,2,2,2,0,2,1,0,2,1,2,1,2,1
dirtyspice29@outlook.com,2,0,2,2,1,2,1,1,2,1,1,2,2,2,0,2,1,1
coldsnake85@qq.com,2,0,2,0,1,2,2,1,1,1,2,2,2,1,2,2,1,1
dirtysub525@gmail.com,1,0,1,2,2,2,1,2,0,1,2,2,2,2,2,0,1,0
acientjug849@gmail.com,2,2,2,0,0,2,1,0,2,0,0,0,2,2,2,2,1,1
hotskates95@qq.com,1,2,1,2,2,1,2,2,0,0,2,1,2,1,0,2,1,2
milkytire61@yahoo.com,2,2,2,1,1,2,1,2,0,1,2,1,2,1,1,2,2,0
oldbread551@yahoo.com,2,1,1,2,1,2,2,1,1,2,2,2,0,2,0,0,1,2
moistcup153@163.com,2,1,2,2,2,1,2,0,1,1,0,1,1,2,2,2,1,2
moistshoes107@qq.com,2,2,1,1,0,1,2,2,1,2,2,0,2,2,2,1,1,1
dailysnake442@outlook.com,1,0,2,1,2,1,1,2,2,2,1,2,1,1,1,2,2,2
dirtysub781@yahoo.com,1,2,1,2,2,1,0,2,0,1,2,2,1,1,2,2,1,2
coldsub442@outlook.com,1,1,2,1,2,2,2,0,0,1,0,2,1,2,2,1,2,2
slightlywindow471@gmail.com,2,0,1,2,2,2,1,1,1,2,1,1,2,1,2,2,2,0
foldingsnake263@yahoo.com,2,1,1,2,1,2,2,0,2,0,0,0,1,2,2,1,2,2
dirtysnake278@outlook.com,1,2,1,2,1,2,2,1,0,2,2,2,2,1,0,2,1,1
dirtydrum361@yahoo.com,1,1,1,2,1,2,2,1,2,2,1,1,2,1,2,2,2,1
acientbread736@163.com,1,0,2,0,2,1,1,2,2,1,2,1,2,2,1,2,1,2
replacementbeans194@yahoo.com,2,1,2,0,2,0,1,2,2,0,0,2,0,2,0,0,2,2
freshytide573@yahoo.com,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,0
losthat840@qq.com,1,0,2,1,1,2,1,2,2,1,2,0,1,2,2,2,1,2
newshack421@163.com,2,2,2,1,2,1,1,2,1,2,1,1,1,2,2,2,1,0
freshyblanket453@gmail.com,1,0,0,2,2,0,0,1,2,2,2,2,2,0,1,2,2,0
mostlycup976@qq.com,2,2,2,1,0,1,1,2,2,2,1,0,2,2,2,0,1,0
slightlydrum888@yahoo.com,2,2,1,2,1,1,2,1,1,2,2,2,1,1,2,1,1,2
foldingtide644@gmail.com,2,1,1,0,2,2,1,2,1,1,2,1,2,2,0,2,2,1
clamyspice389@163.com,2,2,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,0
extrahat650@yahoo.com,2,2,1,2,2,2,0,1,1,1,2,0,1,0,2,2,2,1
freshywindow51@outlook.com,1,2,2,0,2,2,2,0,2,2,0,1,2,1,2,1,1,0
freshyjug808@gmail.com,2,0,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,0
soiledbeans664@outlook.com,2,0,1,2,1,1,2,2,1,2,2,1,1,2,0,2,1,2
acientwindow492@gmail.com,1,1,0,2,2,2,0,2,2,0,1,2,1,1,1,2,2,2
