email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28
freshyspice185@qq.com,2,2,2,1,0,1,2,2,2,2,2,2,2,0,1,1,1,1,2,1,2,1,1,1,2,1,0,2
hotbike829@163.com,0,2,2,2,2,1,2,0,1,1,2,2,2,2,1,1,2,2,0,1,1,2,1,1,1,2,1,2
extracola140@gmail.com,1,1,1,1,2,1,2,1,1,1,2,2,0,2,2,2,1,2,0,2,2,1,2,0,0,2,2,2
slimywindow139@gmail.com,2,2,0,1,1,0,2,2,1,2,1,1,2,2,1,2,2,1,2,1,2,2,2,1,1,1,1,2
tiredwindow970@163.com,2,1,1,1,2,1,2,2,0,2,1,2,0,1,2,2,1,1,0,2,2,2,1,2,1,2,1,2
dailytide471@outlook.com,2,1,2,1,0,2,1,1,2,2,2,1,0,0,1,2,2,2,2,2,1,2,2,1,1,2,1,1
newwindow185@outlook.com,2,2,2,2,2,1,2,2,1,1,1,1,0,2,2,1,2,2,0,1,2,2,2,1,1,1,1,1
buriedblanket280@gmail.com,2,1,0,2,2,2,1,1,1,2,1,2,2,0,1,1,2,1,2,0,1,2,0,2,1,2,2,2
foundshack747@outlook.com,2,2,2,2,0,1,1,1,2,1,1,2,1,1,2,2,1,1,2,1,1,2,2,1,2,2,2,0
dryjug611@outlook.com,1,2,1,0,1,2,1,2,1,2,1,1,0,0,2,0,2,2,2,1,2,2,2,1,2,2,2,1
usedshirt122@163.com,2,2,0,1,0,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,0,2,2,0,2,2,1,2
dirtychrysler281@163.com,2,2,2,2,0,1,1,0,0,2,2,2,0,1,2,0,2,0,0,1,1,2,1,0,2,2,2,2
foundhat456@outlook.com,0,2,2,0,1,2,1,0,2,1,2,2,2,0,0,0,2,2,2,0,2,2,0,2,1,2,1,0
foundhat659@163.com,1,1,2,2,1,2,2,1,1,1,1,2,1,2,2,2,1,0,2,2,2,2,1,2,1,1,0,2
buriedhat948@gmail.com,2,1,0,0,2,1,2,2,2,1,2,1,1,2,1,1,1,2,0,2,2,2,2,1,0,1,2,2
clamyskates705@yahoo.com,0,2,2,1,0,0,1,2,2,0,0,2,2,0,0,2,1,0,0,2,2,2,0,0,2,2,2,2
foundsub311@yahoo.com,0,2,0,1,1,2,1,2,2,1,2,1,2,2,1,2,2,2,1,2,1,2,0,1,2,1,1,2
newsnake821@gmail.com,2,1,1,0,0,1,2,2,2,1,1,1,0,1,1,2,2,2,2,2,2,1,1,2,2,2,1,2
