email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22
soiledcola253@163.com,2,1,1,2,2,2,1,2,2,1,1,1,2,1,2,0,1,2,1,1,2,2
dirtysnake317@163.com,2,2,1,1,2,1,1,2,2,2,2,0,2,2,2,1,1,1,0,1,0,2
newchrysler620@yahoo.com,0,2,2,2,0,1,2,0,1,1,2,2,2,2,1,2,0,2,0,1,1,2
foldingspice737@gmail.com,2,2,1,0,1,0,2,2,1,0,2,2,1,0,2,2,0,2,2,1,0,2
replacementhat268@qq.com,1,2,1,0,2,2,1,2,1,1,2,2,0,2,1,2,1,1,0,2,2,2
mostlycup475@outlook.com,2,2,1,2,2,0,1,2,2,2,1,2,2,1,1,2,1,2,0,1,1,1
mostlyshoes535@gmail.com,1,1,1,2,2,2,0,1,2,0,2,2,1,2,1,0,1,2,1,2,2,2
buriedspice543@yahoo.com,2,2,1,1,1,0,2,2,1,2,2,1,2,2,2,0,1,2,1,1,1,2
slightlycup586@163.com,2,2,2,2,2,1,1,1,2,1,1,2,2,0,2,1,0,2,0,1,2,1
slightlyhat370@outlook.com,1,2,2,1,2,2,1,2,1,2,1,2,2,2,1,1,1,2,1,2,0,0
deepcup89@qq.com,1,1,2,1,1,1,0,2,2,2,1,2,1,2,2,2,2,1,0,2,2,1
soiledbike20@gmail.com,0,1,2,2,1,1,1,2,1,1,2,1,0,2,2,2,1,2,2,2,2,1
foundtide219@qq.com,2,2,0,1,1,1,1,1,2,0,2,1,2,1,2,2,2,2,2,2,1,1
slimywindow631@163.com,2,1,2,0,1,2,1,1,1,1,2,2,2,2,2,0,2,0,2,1,2,1
usedspice200@qq.com,1,1,2,2,1,2,2,2,2,2,1,2,1,2,0,1,1,2,0,1,2,1
clamyjug891@163.com,2,0,1,1,1,2,1,1,2,2,2,2,2,0,1,0,1,2,2,1,2,2
tiredbeans817@gmail.com,2,2,1,2,1,1,2,2,1,1,2,2,2,2,2,1,2,1,1,1,1,1
slightlytire774@163.com,1,1,1,2,2,1,1,2,2,2,1,0,2,1,2,1,2,0,1,2,2,2
lostshoes128@163.com,1,2,1,1,2,1,1,2,2,2,1,2,2,0,2,1,2,2,1,1,2,1
milkybread750@gmail.com,2,1,2,2,2,1,0,2,2,2,1,2,1,2,2,1,1,1,1,1,1,2
foundbeans7@163.com,2,2,1,2,1,2,2,2,2,1,1,2,1,1,0,1,1,2,0,2,1,2
deeprug933@163.com,2,1,1,0,2,1,2,1,2,0,0,2,2,1,1,1,2,2,2,1,2,2
