email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18
usedspice345@gmail.com,2,1,1,2,2,2,2,2,0,2,1,0,1,2,2,1,0,1
colddrum537@yahoo.com,2,2,2,0,2,1,1,2,1,0,2,0,2,2,2,1,1,0
dryjug611@outlook.com,0,2,1,2,1,0,1,2,2,2,2,1,2,1,1,2,2,0
coldshirt926@163.com,2,1,1,2,2,1,2,1,1,2,1,0,2,2,2,2,1,1
retiredspice749@gmail.com,2,2,1,1,2,1,2,1,1,2,2,1,2,1,2,1,2,1
coldsnake27@gmail.com,2,1,2,1,2,2,0,2,1,2,2,1,1,2,1,2,1,0
replacementbike875@qq.com,1,2,2,2,1,1,2,1,2,1,1,2,2,2,1,1,2,0
slimycup961@163.com,2,1,1,1,2,1,1,0,1,2,2,2,1,2,2,1,2,2
deepdrum726@qq.com,1,2,2,1,2,1,1,0,0,2,2,0,1,2,2,2,1,2
soiledtide430@outlook.com,2,1,2,0,1,2,2,0,2,0,2,0,1,1,2,1,2,2
tiredsub5@gmail.com,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2
extraskates512@qq.com,2,1,2,2,2,2,2,1,1,0,0,1,1,2,1,2,1,2
mostlybread482@qq.com,1,1,2,2,0,1,1,2,2,2,1,2,2,1,1,2,1,2
retiredbeans380@yahoo.com,1,1,0,1,0,2,2,0,2,2,0,2,1,0,2,2,2,2
coldtire20@163.com,0,2,2,1,1,1,2,1,2,1,0,0,2,2,0,2,2,2
coldcup141@qq.com,1,2,1,1,2,0,1,2,1,2,0,1,1,2,2,2,2,2
clamyjeep185@163.com,1,2,2,1,1,2,1,1,2,1,2,2,1,1,2,1,2,2
newbike169@gmail.com,2,2,2,2,0,1,1,2,1,1,2,0,1,1,2,1,2,2
dailytire690@qq.com,1,1,1,1,1,2,0,2,2,2,2,1,2,2,1,2,2,1
extrabread562@outlook.com,2,0,2,1,2,1,0,2,1,0,1,2,2,2,2,1,1,2
lostskates908@163.com,1,2,1,2,2,2,1,2,1,2,1,2,1,1,2,1,2,1
acientspice814@outlook.com,0,1,2,1,1,2,2,2,2,1,0,2,2,2,1,1,1,2
clamydrum820@outlook.com,2,2,0,2,1,2,2,2,2,1,2,0,1,1,0,1,0,2
slimyhat636@outlook.com,1,2,2,2,2,2,2,1,1,1,1,2,0,1,1,1,2,2
dirtybread769@gmail.com,2,2,2,1,1,1,0,2,1,1,1,2,1,2,2,1,2,2
usedsnake976@gmail.com,2,0,2,1,1,1,2,2,1,2,2,2,2,1,1,2,1,1
deepdrum919@qq.com,1,2,1,2,0,2,1,2,1,2,2,0,2,2,1,1,1,2
acientbeans987@gmail.com,2,1,1,0,0,1,2,0,1,2,2,2,2,2,1,1,2,2
slimychrysler684@yahoo.com,2,1,1,2,0,2,1,2,1,2,1,2,1,2,2,1,2,1
slightlycup586@163.com,2,2,2,2,2,1,1,1,2,1,2,2,0,1,1,1,2,1
mostlyspice474@yahoo.com,2,2,1,2,1,0,1,0,2,1,2,0,2,2,2,0,2,1
soiledrug494@163.com,1,0,2,2,2,1,2,1,2,2,0,0,1,1,2,2,2,0
freshybread731@163.com,2,0,1,1,0,2,2,1,2,0,2,1,2,2,1,1,2,2
foldingcola241@outlook.com,2,2,1,1,1,2,2,1,1,1,1,2,2,2,2,1,2,0
burieddrum84@outlook.com,2,0,2,1,2,2,1,2,2,1,2,0,1,2,1,2,0,1
buriedblanket280@gmail.com,1,1,1,1,2,0,2,2,1,0,0,2,2,1,2,2,2,2
extrabread553@qq.com,1,1,1,1,2,1,2,2,2,1,1,1,2,2,2,0,2,2
usedshirt865@qq.com,2,1,2,1,1,2,1,2,2,2,1,1,2,2,1,1,1,2
replacementblanket784@163.com,2,1,1,2,0,1,0,1,2,2,2,2,1,2,2,2,1,1
drysnake204@gmail.com,2,1,2,1,2,1,1,2,2,1,2,1,0,1,2,1,2,2
freshydrum27@qq.com,2,2,2,0,1,1,2,1,2,1,0,2,0,2,2,2,1,0
newsnake550@yahoo.com,0,2,2,0,0,2,1,2,2,0,0,2,1,1,1,2,2,2
extrashack431@yahoo.com,2,0,2,2,1,2,2,0,1,1,0,2,2,1,1,2,0,2
tiredrug873@163.com,2,1,1,1,0,1,2,1,2,2,1,2,2,1,0,2,2,2
usedrug5@gmail.com,2,2,1,2,1,1,2,2,1,0,2,2,2,1,1,2,1,1
soiledcup851@outlook.com,2,1,1,0,2,1,2,0,2,0,2,1,2,2,1,0,2,2
foldingshoes858@qq.com,2,0,2,2,1,2,2,0,2,2,0,2,1,2,1,1,0,1
hotsnake106@qq.com,2,2,1,1,2,2,1,2,1,0,2,2,1,2,2,1,1,1
foundbeans91@163.com,1,2,2,2,1,2,2,1,1,1,1,2,1,2,2,2,0,1
deepbread26@qq.com,1,1,2,2,1,2,2,1,2,0,2,1,1,2,2,1,0,2
