email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22
buriedspice689@qq.com,2,1,2,2,2,1,1,2,1,1,2,1,2,2,1,0,1,2,1,2,2,1
hotchrysler124@outlook.com,2,1,2,1,2,2,1,2,1,2,2,2,1,2,0,0,1,2,1,2,0,1
dirtysnake317@163.com,2,2,1,1,2,1,1,2,2,2,2,1,2,2,2,0,1,0,1,1,1,2
extrabread562@outlook.com,2,1,2,2,1,2,1,1,2,1,1,0,1,2,2,2,2,2,1,1,1,2
deepblanket774@outlook.com,2,1,2,1,0,0,1,2,1,1,2,0,1,2,2,2,1,1,2,2,2,2
mostlycup976@qq.com,2,2,2,1,1,1,1,2,2,2,0,2,1,2,1,0,2,2,2,1,0,1
lostdrum631@163.com,1,2,2,1,0,0,2,2,2,1,1,2,1,1,2,2,2,2,1,1,2,1
newtide937@yahoo.com,2,2,1,0,0,1,1,2,1,2,2,1,2,2,2,2,1,2,1,2,1,1
deepdrum726@qq.com,1,2,2,1,2,1,1,1,2,1,2,2,0,1,0,2,2,2,2,1,1,2
clamyjeep797@outlook.com,2,2,2,2,0,1,1,0,1,0,0,2,2,2,0,0,2,2,2,1,0,2
acientsnake555@gmail.com,2,2,1,1,2,1,2,0,2,0,1,2,2,1,2,2,2,2,1,1,1,1
tiredtide263@outlook.com,1,2,2,1,2,1,2,0,2,1,2,2,0,2,1,2,1,1,2,2,1,1
tiredbeans825@163.com,2,1,2,2,0,2,2,1,1,1,2,0,2,1,1,2,2,2,0,1,2,1
soiledsub160@yahoo.com,1,1,2,2,2,2,0,1,2,0,2,1,2,1,1,2,1,0,2,2,2,1
usedsub254@gmail.com,1,1,2,2,1,2,2,1,2,2,2,1,0,1,0,1,0,1,2,2,2,2
foundtire912@qq.com,2,1,2,2,2,1,2,2,2,1,1,2,1,2,1,1,2,2,1,1,1,1
lostshoes128@163.com,0,2,1,1,2,1,1,2,2,2,1,2,2,0,2,0,2,2,1,1,2,1
foundtide103@qq.com,2,1,0,2,1,2,2,2,2,1,2,2,2,0,2,0,0,1,1,1,0,2
soiledshoes664@yahoo.com,1,1,2,2,2,1,2,1,2,0,1,2,2,1,1,2,1,2,1,2,1,2
replacementhat268@qq.com,1,2,1,1,2,2,1,2,1,1,2,2,0,2,1,2,1,1,1,2,2,2
lostwindow390@gmail.com,1,2,1,1,2,1,2,0,2,1,1,1,2,2,0,2,2,1,2,2,2,1
fishysub695@qq.com,2,1,2,1,2,2,2,1,1,2,1,2,1,0,1,2,0,2,2,2,1,0
clamyblanket985@qq.com,1,2,1,2,1,2,2,2,1,0,2,1,1,1,1,0,1,2,2,2,2,2
soiledhat544@outlook.com,1,2,2,1,0,0,1,2,1,2,2,2,2,2,1,0,1,2,1,2,2,1
acientbread9@outlook.com,1,2,1,2,0,1,2,0,0,2,2,2,1,0,1,2,0,2,2,1,2,2
slightlycup586@163.com,2,2,2,2,2,1,1,0,2,0,1,2,2,1,2,0,0,2,1,1,2,1
slightlytide309@yahoo.com,2,0,1,1,2,1,2,2,2,2,2,2,1,2,1,2,2,0,1,0,1,1
foundshoes836@qq.com,1,2,1,2,1,1,2,2,2,1,1,2,2,2,2,1,1,2,1,1,2,0
freshywindow29@163.com,2,1,1,1,2,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,2,1
coldsnake85@qq.com,2,2,2,1,1,2,2,1,1,0,0,2,1,2,2,1,2,2,1,2,1,1
slightlyshack127@outlook.com,1,1,2,2,1,1,2,2,1,1,1,2,2,1,1,0,1,2,2,2,2,2
freshyjug808@gmail.com,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,0,2,2,2,2,0,1
dailywindow99@gmail.com,2,2,1,0,2,1,1,2,2,2,1,1,2,1,1,0,0,2,2,2,1,2
retiredsub266@yahoo.com,0,1,1,1,1,1,2,1,2,2,2,2,2,2,2,0,2,1,1,1,2,2
slightlycup715@gmail.com,1,1,2,2,2,2,1,1,2,1,1,2,2,1,2,0,2,2,0,2,1,1
deepshoes878@outlook.com,1,1,2,2,1,1,1,2,1,1,2,1,1,1,2,2,2,2,2,2,1,2
buriedtire678@yahoo.com,2,2,1,1,1,1,0,1,1,2,2,1,2,1,2,2,1,2,2,2,1,2
replacementshoes858@gmail.com,2,1,1,1,2,2,1,2,2,2,0,1,0,2,0,2,1,1,2,2,0,2
slightlywindow508@gmail.com,1,1,2,2,1,2,1,1,2,1,1,2,2,2,1,0,2,2,1,2,1,2
lostbike893@outlook.com,1,1,2,2,2,1,2,1,2,0,1,1,1,2,2,0,2,0,2,2,2,1
slightlycup436@yahoo.com,2,1,2,2,1,2,1,2,1,1,2,2,1,1,0,2,2,1,0,2,0,2
foldingcola241@outlook.com,2,2,1,1,1,1,0,2,1,2,2,1,1,2,2,2,1,2,2,1,2,1
extrachrysler578@outlook.com,1,1,1,2,1,2,1,2,2,2,1,2,2,1,1,2,1,2,1,1,2,2
slimycup494@qq.com,2,1,1,2,2,0,2,2,1,2,0,2,1,1,1,0,1,2,2,2,2,1
moistbike306@yahoo.com,2,1,1,1,0,2,1,2,2,2,2,1,2,1,2,2,0,2,1,1,0,2
moistjeep527@outlook.com,1,2,2,1,2,1,2,1,2,1,1,2,0,1,0,0,2,2,2,1,2,2
replacementdrum717@163.com,2,2,1,2,2,1,2,1,1,1,2,2,2,2,1,0,1,1,2,2,1,1
dirtyspice235@outlook.com,1,2,1,2,0,1,1,1,1,2,2,1,2,2,2,2,2,1,1,2,1,2
moistspice161@163.com,1,1,2,1,2,1,1,2,2,1,2,0,2,1,1,2,2,2,1,1,2,2
buriedcup948@163.com,1,2,2,1,2,1,2,0,2,0,2,1,0,0,2,2,1,2,2,2,0,1
milkytide545@gmail.com,1,0,2,2,1,2,1,2,1,0,2,1,2,0,2,1,2,1,2,2,1,2
slightlycup905@outlook.com,0,1,2,1,0,2,1,2,2,2,1,2,2,1,1,0,2,0,2,2,1,2
moistdrum752@qq.com,1,1,2,1,2,2,2,2,2,2,0,1,2,1,0,1,1,2,1,2,1,2
buriedskates672@outlook.com,1,0,2,2,2,1,2,0,2,0,2,1,2,2,2,1,1,1,2,1,1,2
dailychrysler726@outlook.com,1,1,0,2,2,1,2,1,2,2,2,1,2,1,1,2,2,2,1,0,2,1
tiredhat204@163.com,1,1,1,1,0,2,1,0,2,1,2,2,2,1,2,2,2,2,2,2,1,1
dailyshack386@yahoo.com,1,2,1,1,1,2,1,2,2,2,1,1,1,2,1,1,2,2,2,2,1,2
buriedcola618@gmail.com,1,2,1,2,1,1,1,1,2,2,2,1,1,2,2,2,2,1,1,2,1,2
foldingrug197@outlook.com,1,1,2,1,2,2,2,1,1,2,2,2,0,2,1,0,0,0,2,2,1,2
fishyblanket809@outlook.com,1,1,1,2,1,2,2,2,2,1,1,2,2,2,2,0,0,1,1,1,2,2
tiredwindow970@163.com,2,1,1,2,0,1,2,0,1,2,2,2,0,1,2,2,2,2,1,1,1,2
drywindow943@qq.com,1,2,2,2,2,2,1,2,0,2,2,1,2,1,0,0,1,2,1,1,1,2
foundbike537@163.com,0,2,0,1,2,1,0,2,1,2,2,1,2,2,0,2,1,2,1,1,2,2
replacementbeans194@yahoo.com,2,0,2,1,0,1,2,2,2,2,2,1,0,2,1,0,0,2,1,1,2,2
