Number, Problems to do, Number of problems, Topics
25, 16, 32, {'5.5', '5.4', '5.7', '5.6', '5.9', '5.8'}

email, boolean_results
slightlycup665@163.com,2,2,1,2,0,1,1,1,0,2,1,1,2,1,2,2,1,2,2,1,1,2,1,1,2,1,2,2,1,2,2,2
foldingshack153@163.com,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,1,1,0,1,1,1,2,1,1,2,2,2,2,1,1,2
slimysub111@yahoo.com,2,2,2,2,2,2,1,1,2,1,2,2,1,1,2,1,2,1,2,2,1,1,1,0,1,2,1,1,1,2,2,1
acientcup779@163.com,1,2,2,2,2,2,1,2,1,1,1,1,2,1,2,2,2,1,1,1,1,2,2,1,2,1,2,2,1,2,1,1
drychrysler697@yahoo.com,2,2,1,2,1,1,2,1,1,1,2,1,2,2,2,1,2,1,2,2,2,1,2,1,2,1,1,1,2,1,1,2
clamytire851@outlook.com,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2
newbeans488@qq.com,1,2,1,0,2,2,1,1,2,1,2,1,2,2,1,1,1,1,2,2,2,2,1,2,1,2,2,2,2,1,1,0
clamydrum576@gmail.com,2,1,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,1,1,2,1,1,1,2,1,1,2,1
tiredjug625@gmail.com,2,1,1,2,2,2,2,1,1,2,2,1,2,2,1,1,1,1,2,2,1,1,2,1,2,1,2,2,1,2,1,1
usedblanket212@yahoo.com,2,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2
slightlywindow917@163.com,1,2,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,2,1
moistsub594@gmail.com,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,2,0,2,2,2,2,1,2,2,1,2,2,1,2,2,2,1
