Number, Problems to do, Number of problems, Topics
45, 11, 22, {'9.5', '9.6', '9.4', '9.7'}

email, boolean_results
dailyshack508@163.com,2,2,2,2,1,2,2,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1
replacementchrysler827@qq.com,2,1,2,2,1,1,2,2,1,2,1,2,1,2,1,1,2,2,1,2,1,1
buriedbike350@yahoo.com,1,1,2,1,2,1,2,2,2,1,2,2,1,1,1,2,2,1,1,2,2,1
deepshoes213@163.com,1,2,2,0,2,2,2,1,1,2,2,2,1,2,1,0,1,1,1,2,2,1
retiredwindow699@gmail.com,1,2,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2,2,1,1
moistbeans230@qq.com,2,2,2,1,2,1,2,2,1,2,1,1,1,1,2,1,1,1,2,1,2,2
foundcola593@gmail.com,1,1,2,2,2,1,1,1,1,2,0,2,2,1,1,2,2,2,2,1,1,2
acientbread378@163.com,2,1,2,1,1,2,1,2,1,2,1,2,2,2,2,1,2,1,1,1,1,2
slightlyblanket474@yahoo.com,2,2,2,1,2,2,1,1,2,2,2,1,0,1,2,1,2,1,1,0,2,1
dailydrum420@163.com,1,2,2,1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2
milkytire690@163.com,1,2,1,2,2,2,2,2,1,1,1,2,1,1,1,2,2,1,1,1,2,2
lostspice746@yahoo.com,2,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,1,1,2,2,1,2
moisttire724@qq.com,2,2,1,0,1,1,2,1,2,1,2,2,1,2,2,1,2,0,2,1,1,2
foundjeep749@yahoo.com,2,2,2,1,2,2,1,1,2,1,0,1,2,2,2,1,1,2,1,2,1,1
foldingjeep400@yahoo.com,2,2,1,2,2,1,2,2,1,1,2,1,2,1,2,2,2,0,1,1,1,1
extracup696@yahoo.com,1,1,1,2,1,2,1,1,2,1,2,1,0,2,0,2,2,2,1,2,2,2
newspice508@163.com,1,1,1,2,2,2,2,1,1,2,2,1,2,2,1,1,2,2,1,2,1,0
fishyblanket623@qq.com,1,2,2,1,1,2,1,2,1,0,1,1,2,2,2,2,2,2,2,1,1,0
soiledrug216@yahoo.com,1,2,1,2,1,1,1,1,2,1,2,2,1,2,2,2,1,2,2,1,1,2
foundhat951@163.com,2,2,2,1,1,1,2,2,2,2,1,1,2,2,1,1,2,2,1,0,1,0
hotshoes45@yahoo.com,2,2,1,1,1,2,1,2,1,1,1,1,2,2,1,2,2,2,1,2,2,1
usedhat569@outlook.com,1,1,1,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1
mostlybeans279@qq.com,2,2,1,2,2,0,2,1,2,1,1,2,1,1,1,1,2,2,1,2,1,2
fishytide150@yahoo.com,2,1,2,0,2,1,1,2,2,1,1,1,2,1,2,1,0,2,1,2,2,2
foldingshack153@163.com,1,2,1,1,2,2,2,1,2,2,1,1,2,1,2,1,1,2,2,1,1,2
dirtyskates896@qq.com,2,1,1,2,1,2,1,2,2,2,1,1,1,1,2,2,2,1,1,0,2,2
