email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24
lostskates583@163.com,2,2,2,2,2,1,1,2,1,1,2,1,2,1,2,1,2,1,2,1,0,1,1,2
dailyshack386@yahoo.com,1,2,1,1,1,1,2,2,2,1,2,2,1,1,1,2,0,1,2,2,2,2,0,2
hotspice715@163.com,2,2,1,1,0,2,2,0,2,1,1,1,2,2,1,2,1,2,1,2,2,2,1,1
dryshoes626@gmail.com,2,2,2,1,0,1,2,2,2,1,1,1,2,2,1,1,2,2,1,1,2,2,1,1
newrug832@163.com,1,2,2,2,2,2,1,0,0,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2
dirtybeans14@163.com,2,2,1,2,1,1,2,1,1,1,2,2,2,1,1,1,2,1,2,2,1,2,2,1
freshybread143@gmail.com,2,2,1,1,1,1,2,0,1,2,0,2,2,1,2,2,2,0,2,2,1,2,1,1
clamyspice717@outlook.com,0,1,2,2,2,2,1,2,1,1,1,1,2,1,2,1,2,2,1,2,1,2,2,1
deepshoes878@outlook.com,1,1,2,2,1,1,1,2,1,1,2,2,1,1,2,2,1,2,1,2,2,2,1,2
freshydrum27@qq.com,2,2,2,0,1,2,1,1,1,2,1,2,1,2,2,1,2,2,1,2,2,1,0,1
usedsub254@gmail.com,0,1,2,2,1,2,2,1,2,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1
dryhat911@yahoo.com,2,0,1,2,2,2,1,0,2,1,2,2,1,0,1,1,2,2,2,2,1,2,1,1
foldingsnake263@yahoo.com,2,1,1,2,2,1,1,1,2,2,1,2,1,1,1,2,1,2,2,2,0,2,1,2
freshytire743@outlook.com,1,1,2,2,2,2,1,0,0,2,0,2,1,2,0,2,1,2,2,1,1,1,2,2
tiredskates490@gmail.com,1,1,2,2,1,1,2,0,1,1,0,2,2,2,2,2,1,2,1,0,2,2,0,2
dryjug611@outlook.com,1,2,1,2,0,1,2,0,0,0,2,1,2,2,2,0,0,2,2,1,2,2,2,1
lostcola749@yahoo.com,2,0,1,2,2,1,1,2,0,2,2,1,2,2,1,1,2,1,1,2,0,2,1,2
moistshack97@qq.com,2,2,2,2,1,2,2,0,1,1,1,1,2,2,1,1,2,1,1,0,2,2,1,2
mostlyhat50@yahoo.com,2,2,2,1,2,1,1,1,2,1,2,1,2,1,2,1,2,2,2,1,0,1,2,1
replacementshoes99@outlook.com,1,1,1,2,1,2,1,1,2,2,2,2,2,1,2,2,2,1,1,1,0,2,2,1
newbike501@163.com,1,1,2,1,2,2,2,0,2,2,1,2,1,2,2,1,1,1,2,2,0,2,1,1
mostlyshack522@163.com,2,2,2,1,1,1,1,1,2,2,0,2,1,2,1,2,2,1,1,2,1,1,2,2
newwindow185@outlook.com,2,1,2,2,2,2,0,1,1,1,2,2,2,2,0,1,2,2,2,0,1,1,1,1
hotwindow664@163.com,0,2,2,0,1,2,2,0,1,1,0,2,2,0,2,2,1,1,1,1,2,2,2,2
fishybread363@yahoo.com,2,2,1,2,1,2,2,0,2,1,2,1,1,1,1,2,2,2,1,2,1,1,1,2
fishyspice921@outlook.com,0,2,2,2,2,2,1,1,0,1,2,1,1,2,1,1,2,2,2,2,0,1,1,2
acientsub492@gmail.com,2,2,1,2,2,1,2,1,0,2,2,2,1,1,0,1,2,1,2,1,0,2,2,1
mostlybread482@qq.com,1,2,2,2,1,2,1,2,1,2,2,2,1,1,2,1,2,1,1,0,2,1,1,2
soiledrug889@gmail.com,1,2,1,2,0,2,1,2,1,2,2,1,2,2,1,2,2,2,1,1,2,1,1,1
coldcup974@outlook.com,1,2,1,2,2,0,0,2,2,2,1,2,2,2,1,1,1,2,2,1,1,1,1,2
extrabike590@outlook.com,1,1,1,1,2,2,1,2,2,2,2,1,2,2,1,2,1,1,2,1,0,2,1,2
milkybeans665@163.com,2,1,2,1,2,1,1,2,2,1,2,1,2,1,1,2,0,1,1,2,2,2,2,0
lostwindow390@gmail.com,1,2,1,0,1,2,2,2,1,1,2,1,0,1,2,2,1,2,2,0,2,2,2,1
newdrum817@outlook.com,0,2,1,2,1,0,0,0,2,2,0,2,2,2,1,2,1,2,2,1,2,1,1,2
soiledrug494@163.com,1,1,2,2,2,2,2,0,2,1,2,2,1,2,1,1,0,1,0,2,0,2,2,1
