email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
retiredsub266@yahoo.com,1,1,2,1,1,1,2,2,2,1,2,2,0,1,2,2
hotsnake106@qq.com,2,2,1,1,2,2,1,2,1,1,2,2,1,2,1,1
extraspice708@qq.com,2,2,2,0,1,2,1,1,2,2,1,1,2,2,0,0
retiredsub614@outlook.com,2,2,0,0,0,2,1,2,2,2,1,1,1,2,2,1
freshycola351@qq.com,0,2,2,1,1,0,0,2,1,2,2,0,2,1,2,2
deepdrum726@qq.com,0,2,2,1,2,1,1,2,2,1,1,2,1,2,1,2
moistshoes107@qq.com,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1
tiredchrysler382@163.com,1,0,0,1,1,2,2,2,1,2,1,2,2,2,1,2
acientsnake134@outlook.com,2,2,0,0,1,2,2,2,1,1,2,1,2,1,0,2
dryshirt284@gmail.com,1,1,1,1,1,2,2,2,0,1,1,2,2,2,2,2
fishychrysler416@163.com,2,1,1,2,1,1,1,1,2,2,2,2,0,1,2,2
milkyspice620@qq.com,1,1,1,2,1,2,1,2,1,2,2,2,2,1,1,2
fishyrug380@163.com,2,0,2,2,0,2,2,2,1,1,2,1,1,2,1,0
clamyshirt500@qq.com,1,1,2,0,2,1,2,2,2,2,0,2,1,1,2,1
foundtire657@outlook.com,2,2,2,2,2,1,1,1,2,1,1,2,2,1,1,0
usedbike751@qq.com,0,2,1,1,2,2,2,1,2,2,1,0,2,1,2,1
mostlyspice339@gmail.com,2,1,2,2,2,2,2,1,2,1,1,1,1,1,2,0
lostskates238@qq.com,2,2,2,2,1,2,2,0,2,1,1,1,2,1,1,1
slimytire345@gmail.com,1,2,1,2,1,2,2,2,2,0,1,2,1,2,1,1
clamyjug699@163.com,1,2,2,0,1,1,2,1,0,2,0,1,2,2,2,2
deeptire245@qq.com,0,2,2,2,1,1,2,1,0,0,2,2,2,1,1,2
clamytire126@163.com,2,2,2,2,2,1,0,1,0,1,0,2,2,1,2,0
replacementshoes137@outlook.com,1,2,1,0,2,1,2,2,2,1,2,1,0,2,1,2
replacementrug659@gmail.com,0,1,0,2,0,1,2,2,2,2,0,2,0,2,1,2
oldjug810@qq.com,2,1,2,2,2,1,1,2,0,1,2,1,1,2,1,2
acientbike144@yahoo.com,2,1,0,0,2,2,2,2,1,2,2,2,1,1,1,0
moistsnake675@yahoo.com,2,2,1,1,1,2,1,2,1,2,1,2,2,2,1,0
hotsub233@gmail.com,1,2,2,2,2,1,1,2,2,2,1,1,1,1,0,2
fishyshoes979@qq.com,0,2,0,2,1,2,2,1,2,2,1,2,1,1,2,1
dailyspice289@gmail.com,1,1,2,2,1,2,2,2,1,1,2,1,1,2,0,2
oldchrysler964@163.com,0,1,2,2,1,1,2,1,2,2,1,2,0,2,1,2
slightlyshirt355@yahoo.com,2,1,2,1,2,1,1,2,2,2,2,2,1,1,1,0
mostlycup165@yahoo.com,2,1,2,0,2,1,1,1,2,1,2,1,2,2,2,0
slimyskates612@outlook.com,1,2,1,2,2,2,1,1,0,1,2,2,0,1,2,2
dailysnake442@outlook.com,0,2,1,2,1,1,2,2,2,1,0,1,0,2,2,2
foldinghat152@qq.com,2,1,1,2,1,2,1,2,0,1,2,2,2,1,2,1
dailyrug68@gmail.com,2,1,1,2,2,1,2,1,2,1,0,1,1,2,2,2
buriedspice285@outlook.com,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,1
clamyjeep169@163.com,1,2,2,1,1,1,2,1,2,2,1,2,1,2,2,1
hotbike143@outlook.com,2,1,2,1,1,1,2,2,1,2,1,0,2,2,1,2
slimyshoes43@qq.com,1,1,1,2,1,2,2,2,2,1,1,2,1,1,2,2
mostlycup976@qq.com,2,2,2,1,0,1,1,2,2,2,0,1,0,2,2,0
buriedjeep923@yahoo.com,1,1,2,1,2,2,2,2,1,2,0,1,1,1,2,2
soiledwindow838@yahoo.com,1,2,2,0,2,1,2,1,0,1,2,2,2,2,1,0
freshytide794@qq.com,2,1,1,2,2,1,2,1,2,1,0,1,2,2,2,0
dirtydrum361@yahoo.com,0,1,2,1,2,2,2,2,1,0,2,1,2,1,2,1
oldblanket905@163.com,2,0,1,2,2,1,2,2,1,2,2,1,2,1,0,1
tiredskates490@gmail.com,2,2,2,1,1,2,2,2,0,1,1,2,1,1,1,2
dailyskates789@outlook.com,2,2,1,0,1,2,2,2,1,2,1,2,1,1,2,0
milkysub116@yahoo.com,1,1,1,2,1,2,2,2,1,2,2,1,2,1,1,2
