email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24
oldshirt546@gmail.com,0,2,0,2,2,2,1,0,1,2,1,2,2,2,1,1,2,1,1,2,2,1,2,1
dailycola319@yahoo.com,1,2,2,2,0,2,1,2,1,2,2,1,2,2,0,1,0,2,1,1,1,1,2,2
foundtire923@qq.com,0,1,0,2,2,2,1,0,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,0
extrasnake663@gmail.com,2,2,2,1,2,1,2,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,2
replacementsnake366@gmail.com,1,1,2,0,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,1,2
dailytire10@yahoo.com,2,2,2,1,2,2,2,1,1,1,2,2,1,1,0,2,2,1,1,1,2,1,2,1
burieddrum15@gmail.com,2,2,2,1,1,2,2,0,2,2,1,1,1,2,1,1,0,1,1,1,2,2,2,2
foundbread558@outlook.com,1,2,0,2,2,2,2,2,0,2,0,2,1,2,2,2,0,2,0,1,1,1,1,0
foldingrug197@outlook.com,1,1,2,1,2,2,2,1,1,1,2,2,2,1,2,2,0,1,1,1,2,2,1,2
moistshack97@qq.com,2,2,2,2,1,2,2,1,1,1,1,1,2,2,0,1,2,1,1,0,2,2,1,2
foundsub934@gmail.com,0,2,2,2,1,0,2,2,2,2,1,2,2,0,0,1,2,1,0,1,1,2,2,1
oldjug372@gmail.com,0,2,0,1,2,2,2,2,1,1,2,2,2,1,1,1,2,1,1,2,2,2,1,1
oldchrysler964@163.com,0,2,2,2,0,2,1,1,0,2,1,2,1,2,2,1,1,2,2,1,1,2,1,2
dailyhat533@outlook.com,0,1,0,1,2,0,1,2,1,2,2,2,2,2,2,1,1,2,1,0,2,2,1,2
colddrum318@gmail.com,1,2,2,0,1,2,1,1,0,2,2,2,1,1,2,1,2,2,1,1,2,1,2,2
lostbread363@gmail.com,2,1,2,2,1,2,1,2,2,1,1,1,1,1,2,1,0,2,1,2,2,1,2,2
dryspice502@gmail.com,2,2,2,1,2,2,1,2,1,1,1,1,2,1,2,2,1,2,2,1,2,1,1,1
