email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24
freshycola108@qq.com,1,2,2,2,2,1,0,1,1,2,2,1,1,1,2,1,2,1,2,2,2,0,1,2
mostlyjeep956@outlook.com,2,2,1,2,1,2,2,2,0,1,0,2,1,1,2,2,2,1,1,1,0,2,2,1
hotbike829@163.com,1,2,2,2,2,1,2,1,1,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2
slimyskates157@163.com,2,2,0,1,2,0,1,2,2,2,1,2,1,2,2,2,2,1,1,1,1,1,2,1
extrarug864@qq.com,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,0,1
soiledblanket200@gmail.com,2,2,2,2,1,0,0,1,0,2,2,2,1,2,2,2,1,2,2,1,1,1,1,1
buriedcup356@outlook.com,0,2,1,2,2,2,2,2,2,2,2,1,2,0,1,2,0,1,0,1,2,1,1,0
colddrum537@yahoo.com,2,1,2,2,1,1,2,1,2,2,1,0,1,2,0,2,1,0,2,2,2,2,1,0
newbread855@163.com,0,1,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,1,2,1,1,1,1,1
slimydrum148@outlook.com,2,2,2,2,1,0,0,2,2,1,2,2,0,2,0,0,0,0,1,1,1,2,2,2
fishybike502@qq.com,1,2,2,1,1,2,2,2,0,2,0,1,1,2,2,1,2,1,2,2,1,1,0,2
extrasub180@qq.com,0,2,2,1,1,1,2,1,0,1,1,2,1,2,2,2,2,2,1,1,2,1,2,2
slimybread27@qq.com,1,2,1,2,0,2,1,1,2,0,1,2,2,1,2,2,1,2,2,1,2,1,2,1
oldblanket905@163.com,2,1,2,2,1,2,1,1,1,2,1,2,2,0,2,2,1,1,1,2,2,0,1,2
milkyhat906@gmail.com,2,1,2,2,2,0,2,1,0,2,0,1,0,2,2,1,2,0,2,1,2,2,0,1
fishyspice921@outlook.com,0,2,2,2,2,2,0,1,1,1,2,1,0,2,1,1,2,2,2,2,1,1,0,2
milkychrysler100@gmail.com,2,2,2,0,0,1,1,1,2,1,2,1,0,1,2,1,2,2,2,0,2,1,2,2
moistcup626@163.com,2,2,2,2,2,0,1,1,2,2,1,1,1,1,1,1,2,0,2,2,2,2,0,1
slightlysub732@qq.com,2,1,1,2,1,1,1,2,0,2,2,2,2,1,2,2,1,2,2,1,1,1,2,0
moisthat761@outlook.com,2,0,0,0,1,2,2,1,2,2,1,1,2,2,2,2,2,2,1,2,1,1,0,1
clamyrug518@163.com,1,2,2,1,1,2,0,1,1,2,2,1,2,2,2,2,1,1,2,0,2,2,1,1
extrabread562@outlook.com,2,1,2,2,0,1,2,1,1,2,2,1,1,1,0,2,2,2,2,2,1,0,1,2
retiredtide905@qq.com,2,0,1,2,2,0,2,1,2,1,2,1,1,1,2,2,2,0,2,1,2,1,2,1
foldingshack729@gmail.com,2,1,1,1,2,1,0,2,2,2,0,1,2,1,2,2,1,1,2,2,0,2,1,2
extrasub515@yahoo.com,2,1,1,2,1,2,1,1,2,2,2,1,1,2,2,1,2,2,1,2,1,1,1,2
soiledhat544@outlook.com,1,2,2,1,1,1,1,2,1,2,1,2,2,2,2,2,1,1,2,1,1,2,2,0
soiledshoes971@163.com,1,0,2,2,1,2,1,2,2,1,1,2,2,0,1,2,2,2,2,1,1,1,1,2
tiredsub5@gmail.com,2,2,2,1,0,1,0,2,2,1,2,1,2,1,1,2,2,2,1,1,0,1,2,2
fishyspice4@outlook.com,1,2,2,1,1,1,2,1,1,2,1,2,2,2,1,2,2,2,1,1,1,1,2,2
oldtire137@qq.com,1,1,1,2,2,1,2,2,2,2,2,1,0,1,2,1,1,2,0,2,2,1,1,2
slimyrug453@gmail.com,1,0,1,2,2,1,1,2,2,2,1,0,2,2,0,2,2,1,2,2,2,1,1,1
fishychrysler416@163.com,2,0,2,1,1,0,2,2,1,1,1,1,0,2,1,2,2,2,2,2,0,1,2,2
coldsub442@outlook.com,1,0,2,0,2,0,2,2,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2
milkyshoes608@gmail.com,1,1,1,2,2,1,1,2,2,1,2,1,1,2,2,2,1,0,1,2,2,1,2,2
hotshack160@outlook.com,2,2,2,1,2,2,0,2,0,2,0,2,2,1,2,1,2,0,1,1,1,1,2,1
soiledsnake93@qq.com,0,2,2,0,1,2,1,1,2,2,2,1,1,1,0,1,2,2,2,2,1,1,2,2
freshytide508@163.com,0,2,2,2,0,0,2,1,2,1,1,1,2,2,2,1,2,2,2,0,2,1,0,0
slimybeans326@gmail.com,2,2,1,1,1,2,1,2,1,2,1,1,2,2,0,2,1,1,2,2,1,2,2,1
slimybread561@yahoo.com,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,1,1,1,2,1,2,2,0,1
dirtybeans14@163.com,2,2,1,2,1,1,2,1,1,1,2,2,2,1,1,1,2,0,2,2,1,2,2,1
extrasnake821@qq.com,0,0,0,1,1,2,1,1,2,1,1,2,2,2,2,2,1,2,2,1,2,2,1,2
dailycup813@yahoo.com,2,2,1,2,2,2,2,2,2,1,1,1,2,2,0,0,0,1,1,1,0,1,2,2
fishyrug633@163.com,2,0,1,2,2,0,2,1,0,1,1,2,2,2,1,1,2,2,2,2,1,0,0,2
freshybread143@gmail.com,2,2,1,1,1,1,2,1,1,2,1,2,2,1,2,2,2,1,2,2,1,2,1,1
foundbread558@outlook.com,0,2,1,2,2,2,2,2,0,2,1,2,0,2,2,2,1,2,1,1,1,1,0,1
freshysub776@163.com,2,1,2,2,2,2,2,2,1,2,2,1,1,1,1,0,1,2,2,1,1,1,2,1
slightlyjug290@qq.com,0,0,1,2,0,2,2,1,0,1,2,2,2,1,2,2,2,0,2,2,1,1,0,2
tiredtide263@outlook.com,1,2,2,1,2,0,1,2,0,2,1,1,2,2,1,2,1,2,1,1,2,2,2,1
hotshack271@qq.com,2,2,1,0,0,0,2,1,1,1,2,2,1,2,1,1,2,2,1,2,2,2,1,2
extracola545@yahoo.com,0,2,2,1,1,0,1,1,2,2,1,1,0,1,2,2,2,2,2,2,1,1,2,2
foldingbike830@outlook.com,1,0,0,1,2,2,2,1,2,2,2,2,1,0,2,1,1,2,2,1,1,2,2,1
fishysub695@qq.com,2,1,1,2,1,2,2,1,2,1,1,2,1,2,0,1,2,2,1,2,2,2,1,1
usedtide37@163.com,2,2,0,2,1,0,0,2,0,1,2,2,2,2,1,1,2,2,2,2,0,1,1,0
coldwindow93@gmail.com,1,0,2,1,2,1,2,1,2,2,1,1,2,1,2,1,1,2,2,2,1,2,2,1
