Number, Problems to do, Number of problems, Topics
4, 14, 28, {'1.11', '1.9', '1.8', '1.12', '1.10'}

email, boolean_results
deepshoes675@yahoo.com,2,2,1,1,0,2,1,2,2,1,1,1,1,1,2,2,1,2,2,2,0,2,1,2,2,1,1,2
dryjeep909@yahoo.com,2,1,1,2,2,2,1,2,1,2,1,2,0,0,2,1,1,1,2,1,1,2,2,2,2,1,1,2
milkybread139@gmail.com,2,2,1,1,2,2,2,1,2,2,2,1,1,1,0,1,2,2,1,2,1,1,2,2,1,1,1,2
buriedblanket499@163.com,1,1,1,1,1,2,2,2,0,1,2,2,1,2,1,2,2,1,2,1,2,2,1,2,2,1,1,2
drysnake79@qq.com,2,2,1,1,1,1,2,1,1,0,2,1,1,2,2,1,2,1,2,2,2,1,2,1,2,2,2,1
usedskates247@qq.com,1,2,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1
deepdrum787@163.com,2,1,1,1,1,0,2,1,2,2,1,1,0,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2
oldbeans933@gmail.com,2,1,2,2,2,1,2,2,0,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,2,2,2,1
slightlyrug222@qq.com,2,2,2,1,2,2,2,2,1,1,1,0,2,0,0,1,2,2,1,1,2,2,1,2,1,2,0,1
slimyshirt853@outlook.com,2,1,1,2,1,1,1,2,1,2,2,1,2,2,1,2,1,2,1,2,2,1,2,1,2,2,1,1
foldingsub312@qq.com,2,1,1,2,2,1,2,1,0,2,1,1,2,1,2,2,1,2,2,2,0,2,2,2,1,1,0,1
foldingwindow791@qq.com,2,2,1,1,1,1,2,1,1,2,1,2,2,2,2,1,0,2,2,2,0,2,1,1,1,2,2,1
buriedshoes976@163.com,2,2,2,1,1,1,2,2,2,2,1,2,1,1,1,2,1,1,1,1,2,2,1,1,2,2,2,1
fishywindow610@gmail.com,2,2,1,2,1,2,1,2,0,2,1,2,2,1,1,1,1,2,1,2,2,0,1,1,1,2,2,2
lostwindow543@163.com,2,1,2,2,0,1,0,2,2,1,1,2,2,2,2,1,1,2,2,2,0,1,0,2,2,1,1,1
